sum_Episode,Episode, Score, Avg.Score,eps-greedy,success,failed,meet_threaten,loss,step
499.8,10,-37.21034506593044,-37.21034506593044,0.9950504949505049,0.2,0.8,0.0,13.092240452766418,0.0
1407.0,20,-93.40684616528286,-93.40684616528286,0.9860513948605141,0.0,1.0,0.0,26.477195739746094,0.0
2384.8,30,-28.253506076812027,-28.253506076812027,0.9770522947705228,0.2,0.8,0.0,27.744967651367187,0.0
3347.4,40,-23.323593059695405,-23.323593059695405,0.9680531946805319,0.1,0.9,0.0,28.687334060668945,0.0
4249.0,50,-18.393968033404654,-18.393968033404654,0.959054094590541,0.2,0.8,0.0,29.828826332092284,0.0
5177.0,60,-25.129646857010197,-25.129646857010197,0.9500549945005499,0.1,0.9,0.0,29.91794834136963,0.0
6081.0,70,-24.92161150593759,-24.92161150593759,0.9410558944105588,0.1,0.9,0.0,28.92591094970703,0.0
7018.2,80,-17.50329396413427,-17.50329396413427,0.932056794320568,0.1,0.9,0.0,29.085261344909668,0.0
7977.6,90,-14.297764080491287,-14.297764080491287,0.9230576942305773,0.1,0.9,0.0,29.9629919052124,0.0
8937.0,100,-19.745050007276724,-19.745050007276724,0.914058594140586,0.0,1.0,0.0,30.8452486038208,0.0
9937.0,110,-25.598672700079007,-25.598672700079007,0.9050594940505949,0.0,1.0,0.0,31.912770080566407,0.0
10901.5,120,-9.553731650987542,-9.553731650987542,0.896060393960604,0.1,0.9,0.0,30.59610710144043,0.0
11866.0,130,-20.121107943658224,-20.121107943658224,0.8870612938706129,0.0,1.0,0.0,32.80784587860107,0.0
12831.5,140,1.44666926347562,1.44666926347562,0.8780621937806219,0.2,0.8,0.0,33.02496967315674,0.0
13657.0,150,10.203246899108183,10.203246899108183,0.869063093690631,0.4,0.6,0.0,33.46510887145996,0.0
14532.0,160,-14.58961076770456,-14.58961076770456,0.86006399360064,0.1,0.9,0.0,34.062313079833984,0.0
15498.9,170,-2.336360168910648,-2.336360168910648,0.8510648935106488,0.1,0.9,0.0,34.09336891174316,0.0
16316.4,180,4.495465479528957,4.495465479528957,0.8420657934206579,0.3,0.7,0.0,35.09948883056641,0.0
17277.7,190,-12.018010752233934,-12.018010752233934,0.833066693330667,0.1,0.9,0.0,34.28469276428223,0.0
18220.2,200,-11.759059647377336,-11.759059647377336,0.8240675932406759,0.1,0.9,0.0,34.39142112731933,0.0
19196.6,210,-5.128613916111647,-5.128613916111647,0.8150684931506851,0.1,0.9,0.0,36.167426681518556,0.0
20055.1,220,21.345550484415405,21.345550484415405,0.8060693930606939,0.6,0.4,0.0,35.646784973144534,0.0
20955.0,230,7.5580704543705455,7.5580704543705455,0.797070292970703,0.3,0.7,0.0,36.72378692626953,0.0
