sum_Episode,Episode, Score, Avg.Score,eps-greedy,success,failed,meet_threaten,loss,step,Q-value,energy_cost,task_collect,Energy_Efficent,UE_waiting_time,Covered_rate
74.0,6903,-24.802667149411377,-24.802667149411377,0.0,0.0,0.0,0.0,0.0,100.0,0,13.896949240580476,0.0,0.0,0.0,0.0
76.0,7045,-36.97662919885912,-36.97662919885912,0.0,0.0,0.0,0.0,0.0,100.0,0,19.760193267695346,0.0,0.0,0.0,0.0
78.0,7245,4.81057828963295,4.81057828963295,0.0,0.0,0.0,0.0,0.0,100.0,0,6.721830511265952,0.0,0.0,0.0,0.0
80.0,7445,-11.692208221469045,-11.692208221469045,0.0,0.0,0.0,0.0,0.0,100.0,0,11.841758319806923,0.0,0.0,0.0,0.0
82.0,7645,-38.77110877355278,-38.77110877355278,0.0,0.0,0.0,0.0,0.0,100.0,0,20.02531626040931,0.0,0.0,0.0,0.0
84.0,7845,-32.59863179759412,-32.59863179759412,0.0,0.0,0.0,0.0,0.0,100.0,0,18.758330128298887,0.0,0.0,0.0,0.0
86.0,8045,1.2387297034120621,1.2387297034120621,0.0,0.0,0.0,0.0,0.0,100.0,0,7.7802939438526435,0.0,0.0,0.0,0.0
88.0,8187,56.36317419686068,56.36317419686068,0.0,0.0,0.0,0.0,0.0,42.0,0,2.3781894028099075,0.0,0.0,0.0,0.0
90.0,8387,-49.602266557643176,-49.602266557643176,0.0,0.0,0.0,0.0,0.0,100.0,0,22.832345313711965,0.0,0.0,0.0,0.0
92.0,8587,-11.84687859229647,-11.84687859229647,0.0,0.0,0.0,0.0,0.0,100.0,0,9.847322734394568,0.0,0.0,0.0,0.0
94.0,8787,-0.5544892221645839,-0.5544892221645839,0.0,0.0,0.0,0.0,0.0,100.0,0,7.742623475471805,0.0,0.0,0.0,0.0
96.0,8987,-8.101395329355825,-8.101395329355825,0.0,0.0,0.0,0.0,0.0,100.0,0,11.202747962850033,0.0,0.0,0.0,0.0
98.0,9187,-14.99137124693496,-14.99137124693496,0.0,0.0,0.0,0.0,0.0,100.0,0,13.033651468368378,0.0,0.0,0.0,0.0
100.0,9387,-24.780324384336282,-24.780324384336282,0.0,0.0,0.0,0.0,0.0,100.0,0,16.453775622806308,0.0,0.0,0.0,0.0
102.0,9587,-23.100900866316145,-23.100900866316145,0.0,0.0,0.0,0.0,0.0,100.0,0,15.984928093725024,0.0,0.0,0.0,0.0
104.0,9787,-43.16219230299593,-43.16219230299593,0.0,0.0,0.0,0.0,0.0,100.0,0,21.70936714058272,0.0,0.0,0.0,0.0
106.0,9987,-0.40637582554008134,-0.40637582554008134,0.0,0.0,0.0,0.0,0.0,100.0,0,8.36541461008571,0.0,0.0,0.0,0.0
108.0,10187,-23.996971835653593,-23.996971835653593,0.0,0.0,0.0,0.0,0.0,100.0,0,16.284311465764556,0.0,0.0,0.0,0.0
110.0,10387,-3.5336870149103348,-3.5336870149103348,0.0,0.0,0.0,0.0,0.0,100.0,0,8.24674396237384,0.0,0.0,0.0,0.0
112.0,10587,-32.43574615207443,-32.43574615207443,0.0,0.0,0.0,0.0,0.0,100.0,0,18.82581158563468,0.0,0.0,0.0,0.0
114.0,10787,-23.960701469486565,-23.960701469486565,0.0,0.0,0.0,0.0,0.0,100.0,0,14.19664216413178,0.0,0.0,0.0,0.0
116.0,10916,60.763505799969785,60.763505799969785,0.0,0.0,0.0,0.0,0.0,29.0,0,2.729697698024246,0.0,0.0,0.0,0.0
118.0,11116,-20.666250772926446,-20.666250772926446,0.0,0.0,0.0,0.0,0.0,100.0,0,15.167728048132311,0.0,0.0,0.0,0.0
120.0,11316,-6.7549767096680995,-6.7549767096680995,0.0,0.0,0.0,0.0,0.0,100.0,0,10.744895419568987,0.0,0.0,0.0,0.0
122.0,11516,-30.69182050176515,-30.69182050176515,0.0,0.0,0.0,0.0,0.0,100.0,0,18.36437733769125,0.0,0.0,0.0,0.0
124.0,11716,-24.22612445942645,-24.22612445942645,0.0,0.0,0.0,0.0,0.0,100.0,0,15.689879914977224,0.0,0.0,0.0,0.0
126.0,11916,-6.978872383980843,-6.978872383980843,0.0,0.0,0.0,0.0,0.0,100.0,0,10.779793454635827,0.0,0.0,0.0,0.0
128.0,12116,-3.9078256410609384,-3.9078256410609384,0.0,0.0,0.0,0.0,0.0,100.0,0,9.932988489712727,0.0,0.0,0.0,0.0
130.0,12316,-24.778486306275234,-24.778486306275234,0.0,0.0,0.0,0.0,0.0,100.0,0,14.703490514594028,0.0,0.0,0.0,0.0
132.0,12516,-6.316229932406884,-6.316229932406884,0.0,0.0,0.0,0.0,0.0,100.0,0,8.661187840082635,0.0,0.0,0.0,0.0
134.0,12716,-2.7995362368777066,-2.7995362368777066,0.0,0.0,0.0,0.0,0.0,100.0,0,7.183332840799481,0.0,0.0,0.0,0.0
136.0,12870,-35.203872135339125,-35.203872135339125,0.0,0.0,0.0,0.0,0.0,100.0,0,18.950433720166046,0.0,0.0,0.0,0.0
138.0,13047,36.485707755066116,36.485707755066116,0.0,0.0,0.0,0.0,0.0,77.0,0,2.453028360967674,0.0,0.0,0.0,0.0
140.0,13247,-14.957778529183415,-14.957778529183415,0.0,0.0,0.0,0.0,0.0,100.0,0,11.31724752307909,0.0,0.0,0.0,0.0
142.0,13375,62.21296404306295,62.21296404306295,0.0,0.0,0.0,0.0,0.0,28.0,0,2.4331250974682668,0.0,0.0,0.0,0.0
144.0,13575,-19.790079297523924,-19.790079297523924,0.0,0.0,0.0,0.0,0.0,100.0,0,14.925323498563197,0.0,0.0,0.0,0.0
146.0,13705,-21.659118343916894,-21.659118343916894,0.0,0.0,0.0,0.0,0.0,100.0,0,12.960969292391944,0.0,0.0,0.0,0.0
148.0,13843,-15.734567081787993,-15.734567081787993,0.0,0.0,0.0,0.0,0.0,100.0,0,13.098011709607647,0.0,0.0,0.0,0.0
150.0,14001,-17.306994593987227,-17.306994593987227,0.0,0.0,0.0,0.0,0.0,100.0,0,12.214662489409339,0.0,0.0,0.0,0.0
152.0,14201,-23.976519312006694,-23.976519312006694,0.0,0.0,0.0,0.0,0.0,100.0,0,14.316739259576144,0.0,0.0,0.0,0.0
154.0,14401,2.2671617733289793,2.2671617733289793,0.0,0.0,0.0,0.0,0.0,100.0,0,7.593266233376683,0.0,0.0,0.0,0.0
156.0,14563,44.61172164025459,44.61172164025459,0.0,0.0,0.0,0.0,0.0,62.0,0,2.837372849460427,0.0,0.0,0.0,0.0
158.0,14763,4.261552906723182,4.261552906723182,0.0,0.0,0.0,0.0,0.0,100.0,0,7.2759307306987,0.0,0.0,0.0,0.0
160.0,14963,-20.022586984751882,-20.022586984751882,0.0,0.0,0.0,0.0,0.0,100.0,0,12.90457993213645,0.0,0.0,0.0,0.0
162.0,15163,4.4663244986837825,4.4663244986837825,0.0,0.0,0.0,0.0,0.0,100.0,0,7.176853657560373,0.0,0.0,0.0,0.0
164.0,15363,-32.3071322017216,-32.3071322017216,0.0,0.0,0.0,0.0,0.0,100.0,0,17.82249347497794,0.0,0.0,0.0,0.0
166.0,15563,-15.989322026866915,-15.989322026866915,0.0,0.0,0.0,0.0,0.0,100.0,0,13.441920628325791,0.0,0.0,0.0,0.0
168.0,15716,52.24526980091764,52.24526980091764,0.0,0.0,0.0,0.0,0.0,53.0,0,2.795432345313466,0.0,0.0,0.0,0.0
170.0,15916,-1.535092633954335,-1.535092633954335,0.0,0.0,0.0,0.0,0.0,100.0,0,6.5754417240662795,0.0,0.0,0.0,0.0
172.0,15977,57.28393643387742,57.28393643387742,0.0,0.0,0.0,0.0,0.0,34.0,0,2.5492509959675504,0.0,0.0,0.0,0.0
174.0,16177,-4.625680390411702,-4.625680390411702,0.0,0.0,0.0,0.0,0.0,100.0,0,10.025203189844598,0.0,0.0,0.0,0.0
176.0,16377,-21.49079819283382,-21.49079819283382,0.0,0.0,0.0,0.0,0.0,100.0,0,13.77103710617887,0.0,0.0,0.0,0.0
178.0,16534,-26.341615568603764,-26.341615568603764,0.0,0.0,0.0,0.0,0.0,100.0,0,16.465231412032836,0.0,0.0,0.0,0.0
180.0,16734,-16.542894562752018,-16.542894562752018,0.0,0.0,0.0,0.0,0.0,100.0,0,13.335573321879393,0.0,0.0,0.0,0.0
182.0,16927,22.621962266632316,22.621962266632316,0.0,0.0,0.0,0.0,0.0,93.0,0,2.8349510099539947,0.0,0.0,0.0,0.0
184.0,17127,-4.137933523747584,-4.137933523747584,0.0,0.0,0.0,0.0,0.0,100.0,0,9.225873016878412,0.0,0.0,0.0,0.0
186.0,17327,-2.413136964350471,-2.413136964350471,0.0,0.0,0.0,0.0,0.0,100.0,0,7.826648653813772,0.0,0.0,0.0,0.0
188.0,17527,-20.523645259595206,-20.523645259595206,0.0,0.0,0.0,0.0,0.0,100.0,0,11.753957578186272,0.0,0.0,0.0,0.0
190.0,17727,-19.339675720188673,-19.339675720188673,0.0,0.0,0.0,0.0,0.0,100.0,0,11.770569060281431,0.0,0.0,0.0,0.0
192.0,17927,-11.24070893664991,-11.24070893664991,0.0,0.0,0.0,0.0,0.0,100.0,0,10.432438098769222,0.0,0.0,0.0,0.0
194.0,18056,-40.40583926047175,-40.40583926047175,0.0,0.0,0.0,0.0,0.0,100.0,0,19.380983350268167,0.0,0.0,0.0,0.0
196.0,18256,10.849143275890064,10.849143275890064,0.0,0.0,0.0,0.0,0.0,100.0,0,5.092286815271919,0.0,0.0,0.0,0.0
198.0,18456,-50.465803648591184,-50.465803648591184,0.0,0.0,0.0,0.0,0.0,100.0,0,24.031656926755517,0.0,0.0,0.0,0.0
200.0,18656,-22.65359944404262,-22.65359944404262,0.0,0.0,0.0,0.0,0.0,100.0,0,13.564909035661767,0.0,0.0,0.0,0.0
202.0,18856,4.053410105553418,4.053410105553418,0.0,0.0,0.0,0.0,0.0,100.0,0,6.674212539805086,0.0,0.0,0.0,0.0
204.0,19056,-44.03838247263029,-44.03838247263029,0.0,0.0,0.0,0.0,0.0,100.0,0,20.87405647499855,0.0,0.0,0.0,0.0
206.0,19256,-20.342061146828975,-20.342061146828975,0.0,0.0,0.0,0.0,0.0,100.0,0,14.476096800938722,0.0,0.0,0.0,0.0
208.0,19456,-14.287053447332724,-14.287053447332724,0.0,0.0,0.0,0.0,0.0,100.0,0,12.051737375767562,0.0,0.0,0.0,0.0
210.0,19609,-1.846864018979062,-1.846864018979062,0.0,0.0,0.0,0.0,0.0,100.0,0,8.05652927568416,0.0,0.0,0.0,0.0
212.0,19768,18.641547180989267,18.641547180989267,0.0,0.0,0.0,0.0,0.0,93.0,0,2.9508972441365975,0.0,0.0,0.0,0.0
214.0,19920,-20.444977618082703,-20.444977618082703,0.0,0.0,0.0,0.0,0.0,100.0,0,14.153108102871322,0.0,0.0,0.0,0.0
216.0,20120,-14.774134563560231,-14.774134563560231,0.0,0.0,0.0,0.0,0.0,100.0,0,12.681773567840711,0.0,0.0,0.0,0.0
218.0,20280,33.33616044403175,33.33616044403175,0.0,0.0,0.0,0.0,0.0,78.0,0,2.994329470521119,0.0,0.0,0.0,0.0
220.0,20423,-7.477155229415281,-7.477155229415281,0.0,0.0,0.0,0.0,0.0,100.0,0,10.678469352425624,0.0,0.0,0.0,0.0
222.0,20623,-6.430153819588689,-6.430153819588689,0.0,0.0,0.0,0.0,0.0,100.0,0,9.995905803646767,0.0,0.0,0.0,0.0
224.0,20823,-16.257425995582324,-16.257425995582324,0.0,0.0,0.0,0.0,0.0,100.0,0,11.756958016964962,0.0,0.0,0.0,0.0
226.0,21001,34.72350991358272,34.72350991358272,0.0,0.0,0.0,0.0,0.0,80.0,0,2.746826364922653,0.0,0.0,0.0,0.0
228.0,21201,-4.8348687450482615,-4.8348687450482615,0.0,0.0,0.0,0.0,0.0,100.0,0,9.679337365613003,0.0,0.0,0.0,0.0
230.0,21367,-7.482245826368448,-7.482245826368448,0.0,0.0,0.0,0.0,0.0,100.0,0,10.526145543348525,0.0,0.0,0.0,0.0
232.0,21501,7.5238834236680745,7.5238834236680745,0.0,0.0,0.0,0.0,0.0,100.0,0,5.8979562857830885,0.0,0.0,0.0,0.0
234.0,21691,0.5175656668724002,0.5175656668724002,0.0,0.0,0.0,0.0,0.0,100.0,0,8.54345175415413,0.0,0.0,0.0,0.0
236.0,21818,63.45414024059468,63.45414024059468,0.0,0.0,0.0,0.0,0.0,27.0,0,2.508169697612084,0.0,0.0,0.0,0.0
