sum_Episode,Episode, Score, Avg.Score,eps-greedy,success,failed,meet_threaten,loss,step
550.0,10,-118.63207071978073,-118.63207071978073,0.9950504949505049,0.0,1.0,0.0,11.937077164649963,0.0
1492.4,20,-97.80483730473017,-97.80483730473017,0.9860513948605141,0.1,0.9,0.0,20.33884963989258,0.0
2478.0,30,-82.86659397740087,-82.86659397740087,0.9770522947705228,0.0,1.0,0.0,27.219024848937988,0.0
3418.1,40,-46.20153176550943,-46.20153176550943,0.9680531946805319,0.2,0.8,0.0,26.221485710144044,0.0
4261.6,50,-43.797610027992825,-43.797610027992825,0.959054094590541,0.2,0.8,0.0,27.192177772521973,0.0
5237.0,60,-61.09100339993887,-61.09100339993887,0.9500549945005499,0.0,1.0,0.0,28.0388334274292,0.0
6146.4,70,-55.68432820768875,-55.68432820768875,0.9410558944105588,0.2,0.8,0.0,28.30648002624512,0.0
7033.0,80,-31.45731391423512,-31.45731391423512,0.932056794320568,0.3,0.7,0.0,27.25687427520752,0.0
7936.0,90,-71.00500560652169,-71.00500560652169,0.9230576942305773,0.0,1.0,0.0,28.032783699035644,0.0
8936.0,100,-54.806986569897596,-54.806986569897596,0.914058594140586,0.0,1.0,0.0,28.614716720581054,0.0
9936.0,110,-56.72888043164458,-56.72888043164458,0.9050594940505949,0.0,1.0,0.0,28.995746040344237,0.0
10856.9,120,-16.93554836009678,-16.93554836009678,0.896060393960604,0.3,0.7,0.0,28.780461883544923,0.0
11674.5,130,-27.337337374083052,-27.337337374083052,0.8870612938706129,0.3,0.7,0.0,28.63380832672119,0.0
12513.3,140,-25.81299977073697,-25.81299977073697,0.8780621937806219,0.2,0.8,0.0,29.287380409240722,0.0
13424.7,150,-27.249374719022427,-27.249374719022427,0.869063093690631,0.4,0.6,0.0,28.61855812072754,0.0
14180.1,160,-22.833135581372378,-22.833135581372378,0.86006399360064,0.4,0.6,0.0,29.47778911590576,0.0
15112.4,170,-35.21876251782199,-35.21876251782199,0.8510648935106488,0.2,0.8,0.0,29.31194076538086,0.0
16033.5,180,-22.528689756694213,-22.528689756694213,0.8420657934206579,0.4,0.6,0.0,29.523033332824706,0.0
16826.0,190,-1.1279595235582185,-1.1279595235582185,0.833066693330667,0.8,0.2,0.0,31.23831100463867,0.0
17574.0,200,-2.2383255360795062,-2.2383255360795062,0.8240675932406759,0.6,0.4,0.0,32.707536697387695,0.0
18367.6,210,5.592281647739693,5.592281647739693,0.8150684931506851,0.6,0.4,0.0,33.111785125732425,0.0
19135.5,220,11.13445012734197,11.13445012734197,0.8060693930606939,0.8,0.2,0.0,33.736853408813474,0.0
19868.2,230,4.9025447878763195,4.9025447878763195,0.797070292970703,0.8,0.2,0.0,33.01039867401123,0.0
20640.2,240,-3.3885767734238295,-3.3885767734238295,0.7880711928807119,0.6,0.4,0.0,34.167730712890624,0.0
21490.7,250,-10.969570859858793,-10.969570859858793,0.7790720927907209,0.5,0.5,0.0,34.082452392578126,0.0
22336.1,260,-4.1290796232494715,-4.1290796232494715,0.7700729927007299,0.6,0.4,0.0,33.93498306274414,0.0
23200.9,270,-12.16153707454993,-12.16153707454993,0.761073892610739,0.4,0.6,0.0,35.267011642456055,0.0
24135.0,280,-29.043997294726324,-29.043997294726324,0.752074792520748,0.1,0.9,0.0,35.54584846496582,0.0
25093.7,290,-31.1661519247565,-31.1661519247565,0.7430756924307569,0.2,0.8,0.0,35.385689163208006,0.0
26076.2,300,-31.570339023899425,-31.570339023899425,0.7340765923407659,0.1,0.9,0.0,37.338870239257815,0.0
27050.6,310,-21.642038624928666,-21.642038624928666,0.725077492250775,0.4,0.6,0.0,35.85115013122559,0.0
27978.6,320,-14.011654433708134,-14.011654433708134,0.7160783921607841,0.4,0.6,0.0,36.995414352416994,0.0
28892.9,330,-13.688465150448502,-13.688465150448502,0.7070792920707929,0.4,0.6,0.0,36.613426208496094,0.0
29831.9,340,-24.52199345441988,-24.52199345441988,0.698080191980802,0.2,0.8,0.0,36.4800163269043,0.0
30780.2,350,-25.217176639131573,-25.217176639131573,0.689081091890811,0.1,0.9,0.0,36.866477966308594,0.0
31747.8,360,-17.59076016568086,-17.59076016568086,0.6800819918008199,0.3,0.7,0.0,36.915060424804686,0.0
32696.8,370,-23.843895289801836,-23.843895289801836,0.6710828917108289,0.1,0.9,0.0,36.94046249389648,0.0
33599.9,380,-5.1990724604992895,-5.1990724604992895,0.662083791620838,0.5,0.5,0.0,38.31705551147461,0.0
34509.3,390,-32.65677460861436,-32.65677460861436,0.6530846915308469,0.1,0.9,0.0,37.556528091430664,0.0
35457.7,400,-9.585156418498915,-9.585156418498915,0.6440855914408559,0.4,0.6,0.0,38.535247039794925,0.0
36384.0,410,-25.47397020822005,-25.47397020822005,0.6350864913508649,0.1,0.9,0.0,38.35462417602539,0.0
37306.2,420,-11.249750336806189,-11.249750336806189,0.626087391260874,0.5,0.5,0.0,38.013127136230466,0.0
38257.7,430,-26.75713166722902,-26.75713166722902,0.6170882911708829,0.2,0.8,0.0,38.30007629394531,0.0
39215.1,440,-5.29556240536362,-5.29556240536362,0.6080891910808919,0.5,0.5,0.0,38.58259506225586,0.0
40029.7,450,-3.7491587448792743,-3.7491587448792743,0.5990900909909008,0.6,0.4,0.0,38.41137542724609,0.0
40912.4,460,-11.240775968744574,-11.240775968744574,0.59009099090091,0.5,0.5,0.0,39.06999473571777,0.0
41818.1,470,-6.345302441269565,-6.345302441269565,0.5810918908109189,0.5,0.5,0.0,38.90786628723144,0.0
